cell,logFC,score_R,score_NR
B4_P5_M91_L001,-3.07868453198631,0,3.07868453198631
B5_P1_M91_L001,-2.67529714943416,0,2.67529714943416
B5_P3_M91_L001,0.777953751168105,0.777953751168105,0
B5_P4_M91_L001,-2.08251773468663,0,2.08251773468663
B5_P5_M91_L001,-0.5297927216421,0,0.5297927216421
B6_P1_M91_L001,-1.02234123463744,0,1.02234123463744
B6_P3_M91_L001,-3.01570247740403,0,3.01570247740403
B6_P4_M91_L001,-1.76062497314196,0,1.76062497314196
B6_P5_M91_L001,-0.376640117580881,0,0.376640117580881
B7_P1_M91_L001,-2.65279156576034,0,2.65279156576034
B7_P3_M91_L001,-2.17484068800094,0,2.17484068800094
B7_P5_M91_L001,-1.08480336819592,0,1.08480336819592
B8_P1_M91_L001,-2.8202766315492,0,2.8202766315492
B8_P3_M91_L001,-3.9941258191182,0,3.9941258191182
B8_P4_M91_L001,-2.16119183470049,0,2.16119183470049
B9_P1_M91_L001,-1.160017073504,0,1.160017073504
B9_P3_M91_L001,-2.86010988580896,0,2.86010988580896
B9_P4_M91_L001,-1.38338925487056,0,1.38338925487056
B9_P5_M91_L001,-3.19752381045426,0,3.19752381045426
C10_P3_M91_L001,-3.22637851218155,0,3.22637851218155
C10_P5_M91_L001,-0.449714739035386,0,0.449714739035386
C11_P1_M91_L001,-3.36481132245138,0,3.36481132245138
C11_P3_M91_L001,-1.90655668360094,0,1.90655668360094
C11_P4_M91_L001,-2.07163705079466,0,2.07163705079466
C11_P5_M91_L001,-3.15570847629104,0,3.15570847629104
C12_P1_M91_L001,-1.29956368469572,0,1.29956368469572
C12_P4_M91_L001,-1.40680444451799,0,1.40680444451799
C12_P5_M91_L001,-0.899776607232824,0,0.899776607232824
C1_P1_M91_L001,-0.0248759343730975,0,0.0248759343730975
